"taxon_name","original_text","description","form","stem","leaf","flower","fruit","seed","root"
"Chaenostoma","Subshrubs or perennial or rarely annual herbs, mostly glandular, occasionally aromatic or foetid. Leaves usually opposite, sometimes alternate upwards, entire or toothed, rarely more deeply lobed, sessile, sometimes decurrent in wings or ridges along stem. Inflorescence a racemose, a cymose raceme or paniculate, bracteate; bracts adnate to base of pedicel. Calyx bilabiate, upper lip 2-lobed, lower lip 3-lobed, or rarely regularly divided into 6–9 lobes; corolla 5-lobed, tube cylindrical or funnel-shaped; stamens 4, rarely 5, in pairs of unequal length, filaments usually inserted in upper part of corolla tube; stigma with 2 marginal bands of papillae. Capsule septicidal, glabrous; seeds elliptic.","subshrubs or perennial or rarely annual herbs, mostly glandular, occasionally aromatic or foetid. leaves usually opposite, sometimes alternate upwards, entire or toothed, rarely more deeply lobed, sessile, sometimes decurrent in wings or ridges along stem. inflorescence a racemose, a cymose raceme or paniculate, bracteate; bracts adnate to base of pedicel. calyx bilabiate, upper lip 2-lobed, lower lip 3-lobed, or rarely regularly divided into 6–9 lobes; corolla 5-lobed, tube cylindrical or funnel-shaped; stamens 4, rarely 5, in pairs of unequal length, filaments usually inserted in upper part of corolla tube; stigma with 2 marginal bands of papillae. capsule septicidal, glabrous; seeds elliptic.","subshrubs or perennial or rarely annual herbs, mostly glandular, occasionally aromatic or foetid.",,"leaves usually opposite, sometimes alternate upwards, entire or toothed, rarely more deeply lobed, sessile, sometimes decurrent in wings or ridges along stem.","inflorescence a racemose, a cymose raceme or paniculate, bracteate; bracts adnate to base of pedicel. calyx bilabiate, upper lip 2-lobed, lower lip 3-lobed, or rarely regularly divided into 6–9 lobes; corolla 5-lobed, tube cylindrical or funnel-shaped; stamens 4, rarely 5, in pairs of unequal length, filaments usually inserted in upper part of corolla tube; stigma with 2 marginal bands of papillae.","capsule septicidal, glabrous;","seeds elliptic.",
"Persoonia subvelutina","Spreading shrub or small tree to 5 m high; young branches moderately to densely hairy. Leaves alternate to subopposite, narrowly elliptic to elliptic, oblanceolate to obovate or narrowly spathulate to spathulate, 3–8 cm long, 6–18 mm wide, discolorous, flat, moderately to densely hairy when young, sparsely to moderately hairy when mature, minutely scabrous; margins recurved to revolute, sometimes slightly incurved. Flowers solitary in axils of leaves; pedicels 1–4 mm long, erect, moderately to densely hairy. Tepals 11–15 mm long, apiculate to caudate, moderately to densely hairy, terminal spine to c. 1 mm long; anthers white; ovary glabrous. Drupe ovoid, to c. 14 mm long, c. 12 mm wide, green. Flowers summer.","spreading shrub or small tree to 5 m high; young branches moderately to densely hairy. leaves alternate to subopposite, narrowly elliptic to elliptic, oblanceolate to obovate or narrowly spathulate to spathulate, 3–8 cm long, 6–18 mm wide, discolorous, flat, moderately to densely hairy when young, sparsely to moderately hairy when mature, minutely scabrous; margins recurved to revolute, sometimes slightly incurved. flowers solitary in axils of leaves; pedicels 1–4 mm long, erect, moderately to densely hairy. tepals 11–15 mm long, apiculate to caudate, moderately to densely hairy, terminal spine to circa 1 mm long; anthers white; ovary glabrous. drupe ovoid, to circa 14 mm long, circa 12 mm wide, green. flowers summer.","spreading shrub or small tree to 5 m high;","young branches moderately to densely hairy.","leaves alternate to subopposite, narrowly elliptic to elliptic, oblanceolate to obovate or narrowly spathulate to spathulate, 3–8 cm long, 6–18 mm wide, discolorous, flat, moderately to densely hairy when young, sparsely to moderately hairy when mature, minutely scabrous; margins recurved to revolute, sometimes slightly incurved.","flowers solitary in axils of leaves; pedicels 1–4 mm long, erect, moderately to densely hairy. tepals 11–15 mm long, apiculate to caudate, moderately to densely hairy, terminal spine to circa 1 mm long; anthers white; ovary glabrous. drupe ovoid, to circa 14 mm long, circa 12 mm wide, green. flowers summer.",,,
"Austrostipa drummondii","Tufted annual or perennial, culms erect to 80 cm high, nodes pubescent, usually hidden by the sheaths. Leaves densely short-pubescent; blade rather stiff, flat to slightly, rarely closely inrolled, to 20 cm long (often less than 10 cm), 2–7 mm broad; sheath loosely enveloping the culm, the uppermost usually with broad, pale, glabrous margins; ligule ciliate 0.5–2 mm long. Inflorescence a contracted to spreading, rather dense panicle to 40 cm long, the base of the panicle often partly concealed by uppermost leaf-sheath. Glumes 8–12 mm long, often purplish, acuminate or acute, sometimes toothed just below apex, the lower up to 2 mm longer than upper; lemma sometimes with a slight constriction just below apex, 4–6 mm long, brown to almost black at maturity, finely granular, with semi-appressed white hairs, often sparse toward apex; callus 1.3–2.5 mm long; awn falcate, 50–90 mm long, the straight part 10–19 mm long, column densely pubescent with hairs 0.3–1 mm long; palea slightly shorter than lemma, with a sparse line of hairs down the centre. Flowers Aug.–Nov.","tufted annual or perennial, culms erect to 80 cm high, nodes pubescent, usually hidden by the sheaths. leaves densely short-pubescent; blade rather stiff, flat to slightly, rarely closely inrolled, to 20 cm long (often less than 10 cm), 2–7 mm broad; sheath loosely enveloping the culm, the uppermost usually with broad, pale, glabrous margins; ligule ciliate 0.5–2 mm long. inflorescence a contracted to spreading, rather dense panicle to 40 cm long, the base of the panicle often partly concealed by uppermost leaf-sheath. glumes 8–12 mm long, often purplish, acuminate or acute, sometimes toothed just below apex, the lower up to 2 mm longer than upper; lemma sometimes with a slight constriction just below apex, 4–6 mm long, brown to almost black at maturity, finely granular, with semi-appressed white hairs, often sparse toward apex; callus 1.3–2.5 mm long; awn falcate, 50–90 mm long, the straight part 10–19 mm long, column densely pubescent with hairs 0.3–1 mm long; palea slightly shorter than lemma, with a sparse line of hairs down the centre. flowers aug.–nov.","tufted annual or perennial, culms erect to 80 cm high, nodes pubescent, usually hidden by the sheaths.","sheath loosely enveloping the culm, the uppermost usually with broad, pale, glabrous margins; ligule ciliate 0.5–2 mm long.","leaves densely short-pubescent; blade rather stiff, flat to slightly, rarely closely inrolled, to 20 cm long (often less than 10 cm), 2–7 mm broad;","inflorescence a contracted to spreading, rather dense panicle to 40 cm long, the base of the panicle often partly concealed by uppermost leaf-sheath. glumes 8–12 mm long, often purplish, acuminate or acute, sometimes toothed just below apex, the lower up to 2 mm longer than upper; flowers aug.–nov.","lemma sometimes with a slight constriction just below apex, 4–6 mm long, brown to almost black at maturity, finely granular, with semi-appressed white hairs, often sparse toward apex; callus 1.3–2.5 mm long; awn falcate, 50–90 mm long, the straight part 10–19 mm long, column densely pubescent with hairs 0.3–1 mm long; palea slightly shorter than lemma, with a sparse line of hairs down the centre.",,
"Lachnagrostis meionectes","Tufted glabrous annual, culms erect, to c. 10(–25) cm high. Leaf-blades mostly closely folded, to 6 cm long and 1 mm wide; ligules truncate, 1.5–3.5 mm long. Inflorescence a slender, rather stiff-branched, pyramidal panicle, mostly 2–6 cm long. Spikelets 2–3.5 mm long, often purplish; glumes equal, or the lower slightly longer, keeled, smooth or scabrous along the keel; lemma truncate, 0.5–1 mm shorter than the spikelet, hairy to within c. 0.5 mm of tip, awned from a just below to c. 1 mm below the tip (occasional florets unawned); awn fine and straight, not or barely exceeding spikelet; palea slightly shorter than lemma; anthers c. 1 mm long. Flowers Dec.-Mar.","tufted glabrous annual, culms erect, to circa 10(–25) cm high. leaf-blades mostly closely folded, to 6 cm long and 1 mm wide; ligules truncate, 1.5–3.5 mm long. inflorescence a slender, rather stiff-branched, pyramidal panicle, mostly 2–6 cm long. spikelets 2–3.5 mm long, often purplish; glumes equal, or the lower slightly longer, keeled, smooth or scabrous along the keel; lemma truncate, 0.5–1 mm shorter than the spikelet, hairy to within circa 0.5 mm of tip, awned from a just below to circa 1 mm below the tip (occasional florets unawned); awn fine and straight, not or barely exceeding spikelet; palea slightly shorter than lemma; anthers circa 1 mm long. flowers dec.-mar.","tufted glabrous annual, culms erect, to circa 10(–25) cm high.",,"leaf-blades mostly closely folded, to 6 cm long and 1 mm wide; ligules truncate, 1.5–3.5 mm long.","inflorescence a slender, rather stiff-branched, pyramidal panicle, mostly 2–6 cm long. spikelets 2–3.5 mm long, often purplish; glumes equal, or the lower slightly longer, keeled, smooth or scabrous along the keel; anthers circa 1 mm long. flowers dec.-mar.","lemma truncate, 0.5–1 mm shorter than the spikelet, hairy to within circa 0.5 mm of tip, awned from a just below to circa 1 mm below the tip (occasional florets unawned); awn fine and straight, not or barely exceeding spikelet; palea slightly shorter than lemma;",,
"Pomaderris intermedia","Shrub to c. 3 m high; branchlets with stellate and sparse to mid-dense simple hairs. Leaves narrow-ovate to broad-elliptic, 30–100 mm long, 10–50 mm wide, acute or obtuse, margin plane, upper surface glabrous, lower surface greyish stellate-pubescent, with very sparse to mid-dense, spreading, often rusty simple hairs on nerves and internerves, secondary (and often tertiary) nerves apparent; stipules 3–8 mm long, deciduous. Panicles c. hemispherical to pyramidal, 4–15 cm long; bracts deciduous. Flowers bright yellow, externally greyish with sparse to mid-dense simple hairs; pedicels 2–5 mm long; hypanthium 1–1.5 mm long; sepals 2–3 mm long, deciduous; petals broad-spathulate, usually auriculate at base, 2–2.5 mm long; disc absent; ovary virtually inferior, summit with simple hairs, style branched above midway. Operculum membranous, c. half mericarp length. Flowers Sep.–Oct.","shrub to circa 3 m high; branchlets with stellate and sparse to mid-dense simple hairs. leaves narrow-ovate to broad-elliptic, 30–100 mm long, 10–50 mm wide, acute or obtuse, margin plane, upper surface glabrous, lower surface greyish stellate-pubescent, with very sparse to mid-dense, spreading, often rusty simple hairs on nerves and internerves, secondary (and often tertiary) nerves apparent; stipules 3–8 mm long, deciduous. panicles circa hemispherical to pyramidal, 4–15 cm long; bracts deciduous. flowers bright yellow, externally greyish with sparse to mid-dense simple hairs; pedicels 2–5 mm long; hypanthium 1–1.5 mm long; sepals 2–3 mm long, deciduous; petals broad-spathulate, usually auriculate at base, 2–2.5 mm long; disc absent; ovary virtually inferior, summit with simple hairs, style branched above midway. operculum membranous, circa half mericarp length. flowers sep.–oct.","shrub to circa 3 m high;","branchlets with stellate and sparse to mid-dense simple hairs. stipules 3–8 mm long, deciduous.","leaves narrow-ovate to broad-elliptic, 30–100 mm long, 10–50 mm wide, acute or obtuse, margin plane, upper surface glabrous, lower surface greyish stellate-pubescent, with very sparse to mid-dense, spreading, often rusty simple hairs on nerves and internerves, secondary (and often tertiary) nerves apparent;","panicles circa hemispherical to pyramidal, 4–15 cm long; bracts deciduous. flowers bright yellow, externally greyish with sparse to mid-dense simple hairs; pedicels 2–5 mm long; hypanthium 1–1.5 mm long; sepals 2–3 mm long, deciduous; petals broad-spathulate, usually auriculate at base, 2–2.5 mm long; disc absent; ovary virtually inferior, summit with simple hairs, style branched above midway. flowers sep.–oct.","operculum membranous, circa half mericarp length.",,
"Yucca gloriosa var. recurvifolia","Shrubby plant, forming colonies of rosettes; stems woody, simple or branched, to 2 m high. Leaves 50–100 cm long, 3.5–5.0 cm wide, usually recurving, flexible, green or glaucous, margins entire or finely denticulate, often shedding elongate fibres, yellow or brown. Inflorescence paniculate, narrowly ellipsoid, to 1.5 m long, barely extending beyond rosettes. Flowers white or slightly greenish, pendent; perianth 4–5 cm long, 2.0–2.5 cm wide. Berry oblong, 2.5–4.5 cm long, erect, 6-ribbed; seeds black, 5–10 mm long.","shrubby plant, forming colonies of rosettes; stems woody, simple or branched, to 2 m high. leaves 50–100 cm long, 3.5–5.0 cm wide, usually recurving, flexible, green or glaucous, margins entire or finely denticulate, often shedding elongate fibres, yellow or brown. inflorescence paniculate, narrowly ellipsoid, to 1.5 m long, barely extending beyond rosettes. flowers white or slightly greenish, pendent; perianth 4–5 cm long, 2.0–2.5 cm wide. berry oblong, 2.5–4.5 cm long, erect, 6-ribbed; seeds black, 5–10 mm long.","shrubby plant, forming colonies of rosettes;","stems woody, simple or branched, to 2 m high.","leaves 50–100 cm long, 3.5–5.0 cm wide, usually recurving, flexible, green or glaucous, margins entire or finely denticulate, often shedding elongate fibres, yellow or brown.","inflorescence paniculate, narrowly ellipsoid, to 1.5 m long, barely extending beyond rosettes. flowers white or slightly greenish, pendent; perianth 4–5 cm long, 2.0–2.5 cm wide.","berry oblong, 2.5–4.5 cm long, erect, 6-ribbed;","seeds black, 5–10 mm long.",
"Opercularia turpis","Spreading to erect herb or subshrub to 50 cm high, dioecious, much-branched near base; branches rigid, striate, densely hairy to glabrous. Leaves sessile, linear to linear-lanceolate, mostly 5–15 mm long and 1–3 mm wide, acute and often uncinate, surfaces scabrous to hairy, margins strongly recurved. Inflorescences axillary 3–5-flowered hemispherical heads, single or paired; peduncles 0–1 mm long, deflexed, shorter than subtending leaves. Flowers unisexual; calyx-lobes linear-triangular, 0.5–1 mm long, glabrous or hairy; corolla 0.5–1.5 mm long. Capsules dehiscing by an oblique abscission leaving a star-shaped cavity when seeds shed; seeds compressed-ovoid, 1.5–3 mm long, outer surface transversely rugose, inner surface with 2 smooth longitudinal ridges, rugose. Flowers Aug.–Nov.","spreading to erect herb or subshrub to 50 cm high, dioecious, much-branched near base; branches rigid, striate, densely hairy to glabrous. leaves sessile, linear to linear-lanceolate, mostly 5–15 mm long and 1–3 mm wide, acute and often uncinate, surfaces scabrous to hairy, margins strongly recurved. inflorescences axillary 3–5-flowered hemispherical heads, single or paired; peduncles 0–1 mm long, deflexed, shorter than subtending leaves. flowers unisexual; calyx-lobes linear-triangular, 0.5–1 mm long, glabrous or hairy; corolla 0.5–1.5 mm long. capsules dehiscing by an oblique abscission leaving a star-shaped cavity when seeds shed; seeds compressed-ovoid, 1.5–3 mm long, outer surface transversely rugose, inner surface with 2 smooth longitudinal ridges, rugose. flowers aug.–nov.","spreading to erect herb or subshrub to 50 cm high, dioecious, much-branched near base;","branches rigid, striate, densely hairy to glabrous.","leaves sessile, linear to linear-lanceolate, mostly 5–15 mm long and 1–3 mm wide, acute and often uncinate, surfaces scabrous to hairy, margins strongly recurved.","inflorescences axillary 3–5-flowered hemispherical heads, single or paired; peduncles 0–1 mm long, deflexed, shorter than subtending leaves. flowers unisexual; calyx-lobes linear-triangular, 0.5–1 mm long, glabrous or hairy; corolla 0.5–1.5 mm long. flowers aug.–nov.","capsules dehiscing by an oblique abscission leaving a star-shaped cavity when seeds shed;","seeds compressed-ovoid, 1.5–3 mm long, outer surface transversely rugose, inner surface with 2 smooth longitudinal ridges, rugose.",
"Arctotheca","Annual or perennial herbs, white-tomentose, sometimes also with glandular hairs. Leaves in a basal rosette and/or cauline and alternate, entire to pinnatisect. Capitula radiate, axillary, solitary, pedunculate; involucral bracts in 3–5 series, imbricate, unequal, herbaceous with scarious margins; receptacle flat, naked, pitted. Ray florets sterile, 1-seriate, ligulate; disc florets bisexual, fertile, tubular; corolla campanulate, deeply 5-lobed; anthers sagittate at base, with an ovate apical appendage; style with very short obtuse branches, glabrous. Cypselas obovoid, ribbed mainly on dorsal surface, densely tomentose or glabrous; pappus 1-seriate, of minute scarious scales, or absent.","annual or perennial herbs, white-tomentose, sometimes also with glandular hairs. leaves in a basal rosette and/or cauline and alternate, entire to pinnatisect. capitula radiate, axillary, solitary, pedunculate; involucral bracts in 3–5 series, imbricate, unequal, herbaceous with scarious margins; receptacle flat, naked, pitted. ray florets sterile, 1-seriate, ligulate; disc florets bisexual, fertile, tubular; corolla campanulate, deeply 5-lobed; anthers sagittate at base, with an ovate apical appendage; style with very short obtuse branches, glabrous. cypselas obovoid, ribbed mainly on dorsal surface, densely tomentose or glabrous; pappus 1-seriate, of minute scarious scales, or absent.","annual or perennial herbs, white-tomentose, sometimes also with glandular hairs.",,"leaves in a basal rosette and/or cauline and alternate, entire to pinnatisect.","capitula radiate, axillary, solitary, pedunculate; involucral bracts in 3–5 series, imbricate, unequal, herbaceous with scarious margins; receptacle flat, naked, pitted. ray florets sterile, 1-seriate, ligulate; disc florets bisexual, fertile, tubular; corolla campanulate, deeply 5-lobed; anthers sagittate at base, with an ovate apical appendage; style with very short obtuse branches, glabrous.","cypselas obovoid, ribbed mainly on dorsal surface, densely tomentose or glabrous; pappus 1-seriate, of minute scarious scales, or absent.",,
"Xanthosia huegelii","Weak procumbent to ascending herb or subshrub to c. 15 cm high; rootstock short, woody; branches villous, becoming flaky with age. Leaves alternate, lamina 6–15(–35) mm long, 15–30(–60) mm wide, villous, sometimes glabrescent, ternately dissected, segments linear-oblong to elliptic, entire; petiole 6–30 mm long. Inflorescence simple or compound, leaf-opposed, sessile or shortly pedunculate; peduncle to 3 mm long; bracts linear-lanceolate, 4–7 mm long, hairy, umbels 3–6-flowered. Sepals c. 2 mm long; petals to 1.5 mm long, white; nectary pubescent, rarely glabrous. Fruit 2.5–4 mm long; mericarps prominently 5–9-ribbed. Flowers spring and summer.","weak procumbent to ascending herb or subshrub to circa 15 cm high; rootstock short, woody; branches villous, becoming flaky with age. leaves alternate, lamina 6–15(–35) mm long, 15–30(–60) mm wide, villous, sometimes glabrescent, ternately dissected, segments linear-oblong to elliptic, entire; petiole 6–30 mm long. inflorescence simple or compound, leaf-opposed, sessile or shortly pedunculate; peduncle to 3 mm long; bracts linear-lanceolate, 4–7 mm long, hairy, umbels 3–6-flowered. sepals circa 2 mm long; petals to 1.5 mm long, white; nectary pubescent, rarely glabrous. fruit 2.5–4 mm long; mericarps prominently 5–9-ribbed. flowers spring and summer.","weak procumbent to ascending herb or subshrub to circa 15 cm high;","branches villous, becoming flaky with age.","leaves alternate, lamina 6–15(–35) mm long, 15–30(–60) mm wide, villous, sometimes glabrescent, ternately dissected, segments linear-oblong to elliptic, entire; petiole 6–30 mm long.","inflorescence simple or compound, leaf-opposed, sessile or shortly pedunculate; peduncle to 3 mm long; bracts linear-lanceolate, 4–7 mm long, hairy, umbels 3–6-flowered. sepals circa 2 mm long; petals to 1.5 mm long, white; nectary pubescent, rarely glabrous. flowers spring and summer.","fruit 2.5–4 mm long; mericarps prominently 5–9-ribbed.",,"rootstock short, woody;"
"Pauridia glabella var. glabella","Glabrous herbs to c. 25 cm high; corms less than 1 cm long, with a fibrous tunic. Roots fleshy. Leaves linear, angular to subulate, 2–25 cm long, c. 0.5–1 mm wide. Inflorescences 1–4, 2.5–20 cm long, bracteoles 2, narrow-linear, 2–18 mm long. Flowers 1 or 2 per inflorescence, 5–7 mm wide; perianth lobes spreading; stamens shorter than the perianth, alternating long and short; ovary 1–3 locular, 2.5–-7 mm long. Capsule ellipsoid, 3–7 mm long; seeds numerous, 0.5–1 mm diam.  Flowers Jul.–Sep.","glabrous herbs to circa 25 cm high; corms less than 1 cm long, with a fibrous tunic. roots fleshy. leaves linear, angular to subulate, 2–25 cm long, circa 0.5–1 mm wide. inflorescences 1–4, 2.5–20 cm long, bracteoles 2, narrow-linear, 2–18 mm long. flowers 1 or 2 per inflorescence, 5–7 mm wide; perianth lobes spreading; stamens shorter than the perianth, alternating long and short; ovary 1–3 locular, 2.5–-7 mm long. capsule ellipsoid, 3–7 mm long; seeds numerous, 0.5–1 mm diam.  flowers jul.–sep.","glabrous herbs to circa 25 cm high;",,"leaves linear, angular to subulate, 2–25 cm long, circa 0.5–1 mm wide.","inflorescences 1–4, 2.5–20 cm long, bracteoles 2, narrow-linear, 2–18 mm long. flowers 1 or 2 per inflorescence, 5–7 mm wide; perianth lobes spreading; stamens shorter than the perianth, alternating long and short; ovary 1–3 locular, 2.5–-7 mm long. flowers jul.–sep.","capsule ellipsoid, 3–7 mm long;","seeds numerous, 0.5–1 mm diam.","corms less than 1 cm long, with a fibrous tunic. roots fleshy."
"Verbena","Herbs, sometimes slightly woody at base, open or decumbent, matted or tufted, rarely glabrous. Leaves mostly decussate, rarely whorled, small, entire or variously incised or pinnatifid. Inflorescence an elongated to capitate spike, terminal, rarely axillary, usually densely many-flowered, often elongating after flowering. Flowers solitary in axil of a bract; calyx usually tubular, unequally and minutely 4- or 5-toothed; corolla-tube straight or slightly curved, lobes 5, slightly unequal and spreading; stamens in 2 unequal pairs, included in corolla-tube; ovary 4-locular with 1 ovule per locule. Fruit dry, separating at maturity into four 1-seeded mericarps.","herbs, sometimes slightly woody at base, open or decumbent, matted or tufted, rarely glabrous. leaves mostly decussate, rarely whorled, small, entire or variously incised or pinnatifid. inflorescence an elongated to capitate spike, terminal, rarely axillary, usually densely many-flowered, often elongating after flowering. flowers solitary in axil of a bract; calyx usually tubular, unequally and minutely 4- or 5-toothed; corolla-tube straight or slightly curved, lobes 5, slightly unequal and spreading; stamens in 2 unequal pairs, included in corolla-tube; ovary 4-locular with 1 ovule per locule. fruit dry, separating at maturity into four 1-seeded mericarps.","herbs, sometimes slightly woody at base, open or decumbent, matted or tufted, rarely glabrous.",,"leaves mostly decussate, rarely whorled, small, entire or variously incised or pinnatifid.","inflorescence an elongated to capitate spike, terminal, rarely axillary, usually densely many-flowered, often elongating after flowering. flowers solitary in axil of a bract; calyx usually tubular, unequally and minutely 4- or 5-toothed; corolla-tube straight or slightly curved, lobes 5, slightly unequal and spreading; stamens in 2 unequal pairs, included in corolla-tube; ovary 4-locular with 1 ovule per locule.","fruit dry, separating at maturity into four 1-seeded mericarps.",,
"Frankenia crispa","Low, densely branched shrub; branches densely covered in appressed, recurved hairs; internodes 3–13 mm long. Leaves on long-shoot 2–6 mm long; petiole 0.8–1.5 mm long, narrowed markedly and more or less cylindric distally where 0.2–0.3 mm wide, usually hairy below; leaf-blade narrowly oblong, subterete, 0.7–1 mm wide; margins tightly revolute; midrib prominent, raised on lower surface; surfaces greyish yellow-green, punctate, upper surface glabrous, lower surface hairy or glabrous; short-shoot leaves similar. Flowers 2–7 in axillary dichasia or solitary. Calyx 5-lobed, 5–7 mm long, 1–1.5 mm wide near apex, wholly covered in short retrorse, incurved hairs or glabrous towards base; petals 5, 6–10 mm long; stamens 6; style-branches 3; ovules 3. Flowers most of year.","low, densely branched shrub; branches densely covered in appressed, recurved hairs; internodes 3–13 mm long. leaves on long-shoot 2–6 mm long; petiole 0.8–1.5 mm long, narrowed markedly and more or less cylindric distally where 0.2–0.3 mm wide, usually hairy below; leaf-blade narrowly oblong, subterete, 0.7–1 mm wide; margins tightly revolute; midrib prominent, raised on lower surface; surfaces greyish yellow-green, punctate, upper surface glabrous, lower surface hairy or glabrous; short-shoot leaves similar. flowers 2–7 in axillary dichasia or solitary. calyx 5-lobed, 5–7 mm long, 1–1.5 mm wide near apex, wholly covered in short retrorse, incurved hairs or glabrous towards base; petals 5, 6–10 mm long; stamens 6; style-branches 3; ovules 3. flowers most of year.","low, densely branched shrub;","branches densely covered in appressed, recurved hairs; internodes 3–13 mm long. short-shoot leaves similar. style-branches 3;","leaves on long-shoot 2–6 mm long; petiole 0.8–1.5 mm long, narrowed markedly and more or less cylindric distally where 0.2–0.3 mm wide, usually hairy below; leaf-blade narrowly oblong, subterete, 0.7–1 mm wide; margins tightly revolute; midrib prominent, raised on lower surface; surfaces greyish yellow-green, punctate, upper surface glabrous, lower surface hairy or glabrous;","flowers 2–7 in axillary dichasia or solitary. calyx 5-lobed, 5–7 mm long, 1–1.5 mm wide near apex, wholly covered in short retrorse, incurved hairs or glabrous towards base; petals 5, 6–10 mm long; stamens 6; ovules 3. flowers most of year.",,,
"Actinidiaceae","Trees, shrubs or woody vines. Leaves simple, alternate, usually toothed; stipules absent. Inflorescence an axillary cyme or panicle, sometimes flowers solitary. Flowers bisexual or unisexual, actinomorphic; sepals (3–)5(–8), usually imbricate in bud; petals (3–)5(–9), free or shortly united at base, imbricate in bud; stamens (10–)20–240, often in clusters opposite petals, sometimes fused to base of corolla; anthers opening by longitudinal slits or apical pores; ovary superior, usually 3–5-locular; ovules numerous, placentation axile; styles equal in number to locules. Fruit a berry or leathery capsule (not in Victoria); seeds numerous.","trees, shrubs or woody vines. leaves simple, alternate, usually toothed; stipules absent. inflorescence an axillary cyme or panicle, sometimes flowers solitary. flowers bisexual or unisexual, actinomorphic; sepals (3–)5(–8), usually imbricate in bud; petals (3–)5(–9), free or shortly united at base, imbricate in bud; stamens (10–)20–240, often in clusters opposite petals, sometimes fused to base of corolla; anthers opening by longitudinal slits or apical pores; ovary superior, usually 3–5-locular; ovules numerous, placentation axile; styles equal in number to locules. fruit a berry or leathery capsule (not in victoria); seeds numerous.","trees, shrubs or woody vines.","stipules absent.","leaves simple, alternate, usually toothed;","inflorescence an axillary cyme or panicle, sometimes flowers solitary. flowers bisexual or unisexual, actinomorphic; sepals (3–)5(–8), usually imbricate in bud; petals (3–)5(–9), free or shortly united at base, imbricate in bud; stamens (10–)20–240, often in clusters opposite petals, sometimes fused to base of corolla; anthers opening by longitudinal slits or apical pores; ovary superior, usually 3–5-locular; ovules numerous, placentation axile; styles equal in number to locules.","fruit a berry or leathery capsule (not in victoria);","seeds numerous.",
"Cyperus exaltatus","Stout tussock-forming perennial. Culms trigonous, smooth, 100–180 cm high, to 8 mm diam. Leaves not septate-nodulose, as long as culms or longer, 5–15 mm wide. Inflorescence compound, with 5–10 primary branches to 18 cm long; spikes narrow-cylindric, 2–5 cm long, 0.5–1.5 cm diam.; involucral bracts leaf-like, 4–6 to 90 cm long. Spikelets flattened, numerous per spike, 4–18 mm long, 1–2 mm wide, 6–44-flowered; rachilla broadly winged, persistent; glumes obtuse, mucronate, with sides ± nerveless, yellow to dark yellow-brown, 1.5–2.0 mm long; stamens 3; style 3-fid. Nut trigonous, ellipsoid, yellow-brown, less than one-half as long as glume, 0.6–0.8 mm long, 0.3–0.5 diam. Flowers spring–summer.","stout tussock-forming perennial. culms trigonous, smooth, 100–180 cm high, to 8 mm diam. leaves not septate-nodulose, as long as culms or longer, 5–15 mm wide. inflorescence compound, with 5–10 primary branches to 18 cm long; spikes narrow-cylindric, 2–5 cm long, 0.5–1.5 cm diam.; involucral bracts leaf-like, 4–6 to 90 cm long. spikelets flattened, numerous per spike, 4–18 mm long, 1–2 mm wide, 6–44-flowered; rachilla broadly winged, persistent; glumes obtuse, mucronate, with sides ± nerveless, yellow to dark yellow-brown, 1.5–2.0 mm long; stamens 3; style 3-fid. nut trigonous, ellipsoid, yellow-brown, less than one-half as long as glume, 0.6–0.8 mm long, 0.3–0.5 diam. flowers spring–summer.","stout tussock-forming perennial.","culms trigonous, smooth, 100–180 cm high, to 8 mm diam.","leaves not septate-nodulose, as long as culms or longer, 5–15 mm wide.","inflorescence compound, with 5–10 primary branches to 18 cm long; spikes narrow-cylindric, 2–5 cm long, 0.5–1.5 cm diam.; involucral bracts leaf-like, 4–6 to 90 cm long. spikelets flattened, numerous per spike, 4–18 mm long, 1–2 mm wide, 6–44-flowered; rachilla broadly winged, persistent; glumes obtuse, mucronate, with sides ± nerveless, yellow to dark yellow-brown, 1.5–2.0 mm long; stamens 3; style 3-fid. flowers spring–summer.","nut trigonous, ellipsoid, yellow-brown, less than one-half as long as glume, 0.6–0.8 mm long, 0.3–0.5 diam.",,
