taxon_name,description
Fagraea,"Terrestrial to epiphytic woody climbers, scrambling shrubs or trees, glabrous. Leaves usually petiolate; stipules connate, forming a collar around branchlet, usually splitting into 2 axillary scales which are free to adnate to petiole base; lamina entire, coriaceous to fleshy, penninerved. Inflorescence a modified cyme, usually terminal, few- to many-flowered; bracts small; bracteoles present (sometimes, not in Australia, absent). Flowers 5-merous. Calyx coriaceous to fleshy; lobes imbricate, thick with thin margin. Corolla fleshy, narrowly to widely funnel-shaped; lobes contorted, overlapping, shorter than tube, rounded. Stamens sometimes inserted on thickened ring; filaments broadened and geniculate near base; anthers basifixed. Ovary superior, ellipsoidal; stigma capitate, obconical, peltate or bilobed. Fruit berry-like, with white sticky latex present under epidermis; base of style persistent. Seeds numerous, irregularly angular, c. 1 mm long, minutely warty, brown."
Hypochaeris,"Annual, biennial or perennial herbs, usually branching. Hairs simple, eglandular. Leaves all or mostly basal. Inflorescences solitary or cymose. Capitula pedunculate; involucral bracts multiseriate, soft and reflexed at maturity; paleae linear, membranous, filamentous at apex, not enclosing or falling with achene. Florets: ligule yellow or white. Achenes homomorphic or dimorphic, not compressed, beaked or not. Pappus of bristles, persistent (in Australia), homomorphic or slightly dimorphic; bristles plumose or scabridulous; sometimes of 2 types within pappus."
Sisymbrium orientale,"Annual or biennial herb 25-90 cm high, erect, vestured; hairs short, soft, reflexed. Rosette leaves pinnatifid with 4 pairs of broadly triangular lobes, petiolate, not persistent; cauline leaves reducing, saggitate, hastate, to lanceolate, entire. Inflorescence an ebracteate raceme. Sepals erect, 4-5 mm long, hispid. Petals 6-10 mm long, pale yellow. Style clavate, the apex as wide as siliqua, 1-3.5 mm long. Siliqua 4-10 cm long, 1-2 mm wide, terete, straight, thick-walled; pedicels spreading, 3-10 mm long. Seeds narrowly ovoid, c. 1 mm long."
Enneapogon intermedius,"Perennials. Flowering culms 30-70 cm high. Leaves: sheath glabrous or pubescent to pilose with simple or glandular hairs; blade persistent, involute, acute, adaxially pubescent to pilose, abaxially usually glabrous or rarely pubescent or hirsute. Panicles usually linear or narrowly oblong, contracted, spiciform, longer than wide, (3-) 5-9 (-13.5) cm long, 1.5-2.5 (-4) cm wide (including awns). Spikelets with 3-5 (-6) florets ((1-) 2 bisexual). Glumes unequal, obtuse to truncate, scaberulous, pilose (hairs simple) or hispid (hairs glandular); lower glume 3.5-4.5 (-7) mm long, 7-16-nerved; upper glume 4.5-6.6 (-8.5) mm long, 6-11-nerved. Basal floret: lemma body 2-3.6 mm long, as long as wide, cartilaginous, slightly ridged or not ridged at base of lobes, with margins glabrous or sparsely ciliate sometimes with narrow hyaline margin, obscurely 9-nerved, with erect hairs arising near the base or in the lower half and exceeding the lobe bases; lemma lobes 9, longer than body, with midlobe 3.6-6 (-9) mm long; palea slightly exceeding lemma body, membranous, with keels ciliate in upper 1/2-2/3, with body pubescent, sometimes glabrous near apex or in lower part, with flaps hirsute. Anthers 0.8-1 mm long."
Gunniopsis intermedia,"Glabrous ephemeral to 20 cm high, sparsely papillose. Branchlets terete, ridged. Leaves linear or spathulate, 7-55 mm long, 1-11 mm wide, bright green. Flowers in cymes; pedicels 4-12 mm long. Perianth segments equal in length, fused for up to 1/3 their length, yellow inside. Stamens many, evenly distributed; filaments dilated at base, terete above, papillose. Capsules with bifid valves. Seeds comma-shaped, laterally compressed, papillose, dark brown."
Thysanotus acerosifolius,"Rootstock 5-15 mm diam., enclosed by bracts and persistent leaf bases; roots tuberous; tubers cylindrical-ellipsoidal, 15-50 mm long, 4-7 mm diam., 4-9 cm from rootstock. Leaves annual, 10-15, filiform, 9-24 cm long. Inflorescence paniculate, 15-30 cm long; umbels 3- or 4-flowered; pedicels 6-7 mm long, articulated 2-3 mm from base, nodding in fruit. Perianth segments 10 mm long. Sepals linear, 1.5 mm wide. Petals ovate, c. 5 mm wide, tapering to acute point; fimbriae 2-3 mm long. Stamens 6; 3 outer anthers 3 mm long, 3 inner 4 mm long. Style c. 4.5 mm long. Seeds not seen."
Romnalda grallata,"Plant to c. 0.4 m tall. Stems to c. 40 cm long. Leaves 12-35 cm long, 7-16 mm wide, ±discolorous, obtuse or ±truncate, with 4-8 small teeth at apex. Inflorescence 9-30 cm long, sparsely and irregularly branched throughout; flower clusters in axils of and scattered along branches. Flowers sometimes marked with purple, each subtended by a minute, withering bract. Sepals ovate-deltoid, 3.5-4 mm long. Petals elliptic-oblong, 4-4.5 mm long. Stamens: filaments linear, outer to 2 mm long, inner to 2.5 mm long; anthers c. 1 mm long. Ovary c. 1.5 mm long; style c. 3.5 mm long. Capsule ovoid, c. 1 cm long. Seed ellipsoidal, pitted, c. 5.5 mm long."
Senna sophera,NA
Dischidia ovata,"Vine. Leaves with petiole 2-9 mm long; lamina succulent, ovate, 2-5 cm long, 0.5-3.5 cm wide, rounded at base, apiculate, light green to brownish, cream-mottled on upper surface, not mealy; colleters 2. Inflorescence of 1 or 2 fascicles. Flowers 5-6 mm long, 3.5-4 mm diam.; pedicels 2-3 mm long. Corolla broadly urceolate, white; lobes ovate, c. 2 mm long, 1 mm wide, minutely papillose outside. Corolline corona absent. Staminal corona lobes stalked with obcordate incurved apices. Follicles 55-65 mm long."
Decaisnina signata subsp. signata,"Leaves broadly lanceolate to elliptic, attenuate but eventually rounded at apex; lamina 8-15 cm long, 2.5-5 cm wide, strongly contracted or truncate at base into petiole 0.5-2 mm long."
Polycarpaea microceps,"Herb, perennial, bushy, to 15 cm tall. Stems slender, cobwebbed; internodes 6-12 mm long. Cauline leaves opposite, rarely whorled, narrowly oblanceolate or linear, 2.3-9 mm long, 0.7-1.3 mm wide, glabrate; stipules red-brown, 1.6-2 mm long, ciliate; midrib present. Inflorescence terminal, compact, capitate, 3-12-flowered; subtending leaves present; bracts red-brown, 1.7-3 mm long, bifid; pedicels 0.5-1.5 mm long, cobwebbed. Sepals lanceolate, 2.1-3 mm long, red-brown, acute, ciliate; midrib present. Petals lanceolate to oblong, 1.2-2 mm long, free, pink. Stamens 0.8-1.4 mm long; staminodes absent. Style 0.3-0.5 mm long. Capsule ovoid, 1.2-1.5 mm long. Seeds c. 12, ± ellipsoidal, c. 0.4 mm long, red-brown."
Wurmbea deserticola,"Plant 7-24 cm tall. Leaves 3, well separated or upper 2 close; lower leaf linear, 2-7 mm wide; middle leaf dilated basally, with long tapering apical portion; upper leaf dilated, with short tapering apex. Inflorescence open; flowers usually 3-11, bisexual. Perianth 9-15 mm long; tepals 6, connate for a fifth to a third of length, pink; nectaries 2 per tepal at base, short, elliptic or circular, marginal thickenings with all margins distinct, pink, often appearing as dark pits when dried. Stamens 2/3-3/4 as long as perianth; anthers 1-2 mm long, ?reddish. Styles connate at base or up to 1/2 length."
Aglaia sapindina,"Small tree to 15 m tall, occasionally to 30 m, sometimes with buttresses. Indumentum of pale brown or reddish brown peltate scales which have a fimbriate margin, usually interspersed with very dark purplish brown or blackish brown peltate scales, dense on twigs, petioles, rachis and petiolules, midrib and veins on lower leaflet surface; midrib and veins below sometimes with few stellate hairs interspersed with the scales; inflorescences, calyces and infructescences densely covered with reddish brown stellate scales. Leaves 13-65 cm long. Leaflets (3) 5-9, 7-26 cm long, 3-13.5 cm wide, with numerous shallow reddish brown pits on lower surface; veins 8-14 pairs. Inflorescence 3-28 cm long. Flowers subglobose, to 3 mm diam., smelling of citronella. Petals 5, yellow or white. Staminal tube shallowly cup-shaped, c. 1 mm long, c. 2 mm wide, with a wide aperture; anthers 5, protruding and pointing towards centre of flower. Infructescence 3-15 cm long. Fruit indehiscent, ellipsoid or subglobose, 1.5-2.8 cm long, 1.5-2.1 cm diam., red or orange, with few scales. Locules 2, each with 1 or 2 seeds. Seeds 1.5 cm long, enclosed in a gelatinous orange aril."
Taraxacum sect. Erythrosperma,"Leaves lanceolate to oblanceolate, glabrous to sparsely arachnoid-hairy; lobation diverse and sometimes complex with lobes further divided; petioles and midribs green or uniformly purple on upper surface. Capitula c. 2.5-4.5 cm diam.; outermost involucral bracts ovate to lanceolate, erect, patent to recurved, never completely appressed to next series (in Australia), green or glaucous-green, normally callus-tipped; borders white,"
Elattostachys megalantha,"Tree to 10 m high. Branchlets and leaf axes puberulous to glabrous. Leaf rachis 0.6-1.8 cm long; leaflets 1 or 2 pairs, rarely 3, subopposite, ovate-oblong or elliptic-oblong, acute, entire or subentire, acute or obtuse and unequal at base, 10-16 cm long, 3.5-6.5 cm wide, glabrous, coriaceous; domatia 1 or 2, small, inconspicuous, or absent; petiolule 6-8 mm long; petiole 2.5-6.5 cm long. Inflorescence 4-10.5 cm long; peduncle pubescent; pedicels 5-8 mm long. Calyx lobes broadly ovate or elliptic, 4-4.5 mm long, crispate-tomentose. Petals subhastate, long clawed, 6.5-7 mm long. Filaments 1-3 mm long, glabrous. Fruit ellipsoidal-obovoid, 1.7-2.2 cm long, 1.5-2 cm diam., sparsely hairy outside, dull yellow-green. Aril broadly bifurcate."
Acacia pachyphylla,"Glabrous multistemmed shrub, usually to 0.3 m high. Branchlets light grey, reddish at extremities. Stipules persistent, 1.5-3 mm long. Phyllodes dimorphic (on upper branches: terete, subterete, ±quadrangular or flat, 1-3 mm wide, pungent; on lower branches: frequently caducous, oblanceolate, flat, 4-7.5 mm wide, obtuse-mucronate), ascending to erect, 2-6.5 cm long, thickly coriaceous, drying with fine longitudinal wrinkles, often glaucous, 4-nerved in all, 1-nerved per face when flat; gland 6-7 mm above pulvinus. Inflorescences rudimentary, 1-headed racemes with axes c. 0.5 mm long, normally growing out; peduncles mostly 12-30 mm long, thick; heads globular, 6.5-8 mm diam., mostly 36-53-flowered, golden. Flowers 5-merous; sepals free. Pods not constricted between the seeds, terete to subterete, to 8.5 cm long, 6-8 mm wide, hard and bony, ±pruinose. Seeds longitudinal, oblong to broadly elliptic, 4.5-5 mm long, dull, dark brown to black; aril terminal, pileiform."
Conostylis tomentosa,"Leaves flat, to 20 cm long, 1-4 mm wide, densely tomentose, grey-white; marginal hairs to 1.5 mm long, longer than those of lamina, white, fine, simple, spreading, not prominently 2-ranked. Scape to 30 cm long, equal to or exceeding leaves. Perianth 10-13 mm long; tube golden yellow; lobes 5-8 mm long, pale yellow to cream with brown apical margins. Anthers 3-4 mm long, with appendages. Style 7-9 mm long."
Acacia nitidula,"Shrub 0.6-2 m high. Branchlets slightly angled apically, sparsely appressed-puberulous or glabrous. Stipules caducous, subulate, 1-1.5 mm long. Phyllodes ascending, narrowly oblanceolate, straight to slightly incurved, 1.5-3 cm long, mostly 2-5 mm wide, obtuse, mucronulate, glabrous, 2-nerved per face; adaxial margin with 2 nerves for 1/4-1/2 length of phyllode; nerves coalescing near the gland. Inflorescences simple, 2 per axil; peduncles 7-11 mm long, glabrous; basal bract caducous, cucullate, rostriform, glabrous; heads globular, 3.5-4 mm diam., 20-flowered, golden; bracteoles spathulate. Flowers 5-merous; sepals free, spathulate. Pods linear, undulate, to 4.5 cm long, 4-4.5 mm wide, coriaceous, glabrous. Seeds longitudinal, widely elliptic, 3 mm long, dull, obscurely mottled brown; aril subterminal."
Mimosa diplotricha,NA
Goodii Group,"Shrubs or rarely small trees. Leaves entire or (G. venusta ) sometimes 3-7-partite, dorsiventral; surfaces ±dissimilar; margins shortly recurved to flat, sometimes also undulate. Conflorescence erect, axillary or terminal, simple or sometimes basally 2- or 3-branched; unit conflorescence secund or subcylindrical or a loose short cluster, strongly basipetal to weakly acropetal. Flowers basiscopic; torus lateral. Perianth zygomorphic (limb of bud decurved), hairy on both surfaces (sometimes sparsely so outside); tepals either loosely coherent at apex in 2 lateral pairs after release of style-end, or with apical portions separating and inner surfaces everted. Pistil 25-55 mm long; ovary stipitate, densely clad with biramous hairs; style exserted from late bud; pollen-presenter lateral, convex-umbonate. Follicle sparsely to densely hairy; indumentum sometimes with reddish blotches; pericarp moderately thick, bony. Seed flat-ellipsoidal, peripterous."
Eriachne glauca var. barbinodis,"Culm nodes bearded. Panicles open, 8-14 cm long, 4-5 cm wide. Glumes 5-7 mm long."
Zieria laxiflora,"Shrub to 1.2 m high, with lignotuber. Branchlets ridged with prominent decurrent leaf bases, not glandular-verrucose, glabrous. Leaves trifoliolate; petiole 4-11 mm long, angular; central leaflet linear, 10-36 mm long, 0.8-5 mm wide, entire, revolute at margins, acute to acuminate; both surfaces not glandular-verrucose; adaxial surface glabrous; abaxial surface stellate-velvety, glabrous, secondary venation obscure. Inflorescences as long as or exceeding leaves, 9 (-50)-flowered. Sepals 1.2-1.7 mm long, glabrous. Petals imbricate, 3-4.5 mm long, creamy white or pale pink, pubescent adaxially. Filaments glabrous, rarely with few hairs, prominently dilated basally. Cocci not apiculate, slightly glandular-verrucose, glabrous."
Eucalyptus luteola,"Mallee to 3 m tall. Forming a lignotuber. Bark rough with partly shed greyish ribbons for basal 1 m of trunks, smooth above grey over pale coppery or yellowish-grey. Branchlets with oil glands in the pith. Juvenile growth (coppice or field seedlings to 50 cm): not seen. Adult leaves alternate, petioles 0.7-1.7; blade linear to narrowly lanceolate, 6-9.5 cm long, 0.8-1.5 cm wide, base tapering to petiole, margin entire, apex pointed, concolorous, slightly glossy, green to olive green, side-veins at an acute or wider angle to midrib, reticulation moderate, intramarginal vein present, oil glands both island and intersectional. Inflorescence axillary unbranched, peduncles widening apically, 1-1.7 cm long, buds ?9 to 13 per umbel, pedicellate (pedicels 0.3-0.5 cm long). Mature buds long-fusiform (1.8-1.9 cm long, 0.3-0.4 cm wide), scar present, operculum horn-shaped, three times the length of the hypanthium and scarcely narrower than it at the join, few outer stamens erect, most stamens variably deflexed, anthers oblong, versatile, dorsifixed, dehiscing by longitudinal slits, style long and straight, stigma tapered to rounded, locules 3, the placentae each with 4 vertical rows of ovules. Flowers lemon. Fruit pedicellate (pedicels 0.1-0.3 cm long), cylindrical to barrel-shaped, 0.6-0.8 cm long, 0.5-0.7 cm wide, disc descending, valves 3, near rim level. Seeds straw-coloured, 0.8-1.5 mm long, sub-spherical, surface smooth, hilum ventral/terminal. Cultivated seedlings (measured at node 10): cotyledons Y-shaped (bisected); stems rounded or square in cross-section; leaves always petiolate, opposite for 2 or 3 nodes then alternate, lanceolate, 5-11.5 cm long, 1.2-2.5 cm wide, dull, grey-green becoming green and slightly glossy."
Synaphea drummondii,"Stems to 6 cm long, hirsute and tomentose. Leaves somewhat flabelliform but pinnatipartite, very undulate; main lobes dentate to pinnatipartite, glabrous; petiole 7-20 cm long, hirsute towards base; lamina 4-8 cm long, 6-10 cm wide; ultimate lobes broadly triangular, 5-10 mm wide, obtuse but mucronate; reticulation fine, shallow. Spikes 3-10 cm long; flowers rather openly spaced; peduncle 7-10 cm long, branched, pilose to glabrous; rachis shortly pilose; bracts obtuse, 1-1.5 mm long, pubescent to almost glabrous except ciliate margins. Perianth ascending, opening widely, glabrous or sparsely pilose; adaxial tepal 4.8-5.5 mm long, 2-2.3 mm wide, curved; abaxial tepal 3.5-4.2 mm long. Stigma ±orbicular to ovate, emarginate, 0.9-1 mm long, 1-1.2 mm wide, ±flat; ovary silky. Fruit not seen."
Epipogium,"Leafless and rootless (root hairs only) terrestrial orchids with a swollen, fleshy, horizontal rhizome. Inflorescence racemose, multiflowered, tip of raceme nodding in early stages of development. Flower stem pale, fleshy, brittle, hollow. Peduncle longer than rachis. Flowers non-resupinate, pendulous, smallish, white and ghostly, short-lasting (hours). Ovaries plump, swelling rapidly as flowering progresses. Sepals and petals free, narrow, similar in size and shape. Labellum moderately broad, column-embracing, flexibly attached to anterior base of column. Labellum lamina obscurely lobed, with very prominent basal spur. Anther containing 4, friable pollinia, with extended caudicles (no viscidium)."
Grevillea biformis subsp. biformis,"Juvenile leaves broadly to narrowly obovate or elliptical, 2.5-3.5 cm long, 6-22 mm wide; upper surface sericeous to openly so; lower surface sericeous, with prominent midvein and reticulum. Adult leaves 5-16 cm long, 1-2.5 mm wide, ±linear, straight or slightly incurved; margins obscure, flat; surfaces ±similar, with several longitudinal parallel ridges and appressed hairs at least in grooves. Unit conflorescence (2.5-) 4-13 (-18.5) cm long; floral rachis silver-sericeous to sparsely so or rarely glabrous, usually brown or sometimes yellow beneath indumentum. Flower colour: perianth and style creamy white, rarely the perianth pale pink. Pistil 5.5-8.5 mm long. Follicles 2.5-3 (-4) mm wide, sometimes faintly colliculate."
Persoonia rigida,"Erect to decumbent shrubs 0.15-2 m tall. Bark smooth. Hairs greyish to tawny, appressed to patent. Young branchlets moderately to densely hairy. Leaves oblanceolate to narrowly spathulate to spathulate, 1.5-5 cm long, 4-19 mm wide, flat or convex, with recurved margins, usually incurved, spreading to erect, straight, innocuous, concolorous to slightly discolorous, not glaucous, moderately to densely hairy when immature, glabrescent or sparsely hairy when mature, strongly scabrous. Inflorescence usually auxotelic, 1-20-flowered; rachis 0-9 cm long. Flowers subtended by scale leaves and leaves; pedicels 1-3 mm long, erect, moderately to densely hairy; tepals 10-12 mm long, apiculate to caudate, moderately hairy on outside. Ovary glabrous; ovule(s) 1 or 2."
Hymenophyllum pallidum,"Rhizome 0.25-0.5 mm diam., forming a dense hairy mat; hairs fine, sparse, whitish to golden red. Fronds 4-16 cm long, pendulous. Stipe wiry, 1-6 cm long, not winged. Lamina ovate-lanceolate, deeply 2- or 3-pinnatifid, 3.5-12 cm long, 1-5 cm wide, ± glaucous, with multi-stratose lamina ± covered with pale brown jointed hairs on either side of the axes and veins (the degree of glaucousness and of hairiness variable); margins entire, thickened. Ultimate segments c. 0.8 mm wide; apex acute to rounded. Sori terminal on basal acroscopic pinna segments; involucre cup-shaped with a narrow, ± pointed base, 1.2-1.8 mm long, 0.6-1 mm diam.; mouth truncate, slightly dilated, entire or ± crenate; receptacle shortly exserted to 0.8 mm beyond the mouth."
Apowollastonia longipes,"Perennial herb (0.3-) 0.6-1.0 (-1.2) m high; annual stems erect or scrambling, not rooting at nodes. Leaves shortly petiolate to subsessile; petiole 5-10 mm long; lamina ovate to sub-orbicular, becoming narrower (lanceolate) above, 40-75 (-140) mm long, 20-60 (-105) mm wide, broadly cuneate basally, shortly serrate, acute to obtuse, often grey-green, densely and coarsely scabrous both surfaces. Capitula 1-3; peduncles 10-12 cm long (often with a median pair of small leafy bracts); involucral bracts ovate to lanceolate, 5-6 mm long, c. as long as disc florets, densely appressed-scabrous dorsally; paleae linear-lanceolate, 5.5 mm long in flower, yellowish. Ray florets 10-12 (-16); ligule 9-12 mm long, 2- (or 3)-lobed. Disc florets 10-20. Achenes obovoid, 2.5-3.0 (-4.0) mm long, 1.5-2.0 mm wide, 2-angled and compressed (disc achenes) or 3-angled (ray achenes), the angles sometimes with narrow corky wings, grey-black, sometimes mottled, smooth or slightly rugose. Pappus a ring of tiny laciniate scales, with 1 or 2 sometimes elongated into soft €˜awns€™ to 0.5 mm long."
Homeria sect. Homeria,"Leaf usually solitary. Anthers never coherent. Style branches various, often with small crests, never covered by anthers."
