"taxon_name","original_text","text","life_history_a","life_history_f","plant_growth_form_a","plant_growth_form_f","plant_growth_substrate_a","plant_growth_substrate_f","sex_type_a","sex_type_f","stem_growth_habit_a","stem_growth_habit_f"
"Euphorbia davidii","Erect or ascending annual herb to c. 50 cm high; stems simple, or usually, many-branched, with scattered fine, semi-appressed to spreading bristles. Leaves mostly opposite toward base, but alternate in upper parts of the plant; petiole 7–25 mm long, shortly bristly; blade usually narrowly to broadly elliptic, c. 15–80 mm long, 5–32 mm wide, margins coarsely and irregularly crenate-dentate, recurved to flat, apex acute to obtuse, surfaces strigose; leaves surrounding cyathia similar to sterile leaves but usually smaller. Cyathia clustered, often head-like at tips of branchlets; peduncles 0.5–1 mm long; involucre cylindric, 2.5–3 mm long, glabrous, divided into 5–7 linear, papillate lobes; gland 1, c. 1 mm long, oblong, lacking appendages; female flowers with styles c. 1 mm long, bifid from half way or nearer base. Capsule broadly ovoid, c. 3 mm long, 4.5 mm diam., glabrous; seeds ovoid, angular in cross-section, c. 2.5–3 mm long, grey, brown or blackish, with low tubercles irregularly arranged or in transverse rows; caruncle c. 0.5 mm long. Flowers mostly Jan–Apr."," erect or ascending annual herb to circa 50 cm high; ","annual","annual","herb","herb",,,,,"erect decumbent","erect ascending"
"Brachyscome ciliaris var. subintegrifolia","Erect, slender perennial herb, often many branched from a woody rootstock; stem and branches glabrous to moderately densely glandular hairy and pilose, particularly in leaf axils, decreasing in density downwards. Leaves to 3.2 cm long, usually glabrous, sometimes with sparse glandular and/or eglandular hairs, particularly near base and apex, usually entire or sometimes with 1–3 segments; segments linear, acute. Peduncles glabrous or with sparse glandular hairs. Involucral bracts ±glabrous or with sparse to dense sessile glands near base. Ligules 5–9 mm long, white or very pale mauve. Cypselas 1.7–2.5 mm long, with glandular hairs or glabrous on lateral faces; faces of ray cypselas often tuberculate; marginal wings present on disc florets, occasionally only developed near apex, ciliate with glandular hairs; pappus short barbellate hairs 0.1–0.4 mm high. Flowers Sep.–May."," erect, slender perennial herb, often many branched from a woody rootstock; ","perennial","perennial","herb","herb",,,,,"erect","erect"
"Glossocardia bidens","Few-branched, often almost leafless, c. glabrous perennial to c. 50 cm high. Basal leaves lanceolate to triangular in outline, 1–8 cm long, 0.5–3 cm wide, pinnatisect with narrow acute entire to pinnatifid lobes, green above, glaucous below; petiole 1–5 cm long; cauline leaves few, smaller, simple to pinnatifid, subsessile. Capitula 5–8 mm diam.; involucral bracts 2-seriate, c. equal, narrow-lanceolate, 3–4 mm long; receptacle scales slightly longer and narrower than inner involucral bracts. Ray florets 5–12; ligules 2–4 mm long, yellow; disc florets 7–12, bisexual, 4-lobed, yellow; anthers black. Cypselas linear-lanceolate, 5–8 mm long, compressed, ribbed, glabrous, dark brown; pappus of 2 straight diverging retrorsely barbed awns 1–3(–5) mm long. Flowers mostly summer and autumn."," few-branched, often almost leafless, circa glabrous perennial to circa 50 cm high. ","perennial","perennial",,,,,,,,
"Prasophyllum niphopedium","Flowering stem slender, 20–35 cm tall. Leaf-blade to 30 cm long and 5 mm diam. at base, apex lax. Flowers 10–20, greenish with pink to reddish markings, lightly fragrant, in a loose spike 7–12 cm long; ovary obovoid, to 4 mm long; sepals 6–8 mm long, dorsal sepal ovate, acute, lateral sepals free or shortly united at base, linear-lanceolate, acute, almost parallel; petals linear-lanceolate, 5–7 mm long, projecting forward, apex obtuse. Labellum on a short claw, trullate, 5–6 mm long, pinkish, recurved at right angle near middle, the lower margins incurved and smooth, upper margins crenulate; callus plate brown or green, much raised at the bend, channelled below, apex blunt and short, often wrinkled. Column appendages oblong, blunt, c. 2 mm long, pale green. Flowers Dec.–Feb.","  ",,,,,,,,,,
"Xerochrysum bracteatum","Annual (?to perennial), taprooted herb, 10–100 cm high; stems more or less erect, branched, glandular, with septate-papillose and/or arachnoid hairs. Leaves elliptic to linear, 3–12 cm long, 0.3–3.0 cm wide, with septate-papillose and/or arachnoid hairs, apex acute or mucronate. Capitula terminal, few to many in panicle-like or corymbose inflorescence, 1–5.5 cm diam.; outer involucral bracts obtuse, inner bracts acute, 0.5–2.0 cm long, golden-yellow, smooth, apex mucronate; florets yellow, female florets in a single outer series. Cypselas c. 3 mm long; pappus yellow, 5–9 mm long. Flowers all year (mostly spring)."," annual ( perennial), taprooted herb, 10–100 cm high; ","annual perennial","annual perennial","herb","herb",,,,,,
"Eucalyptus leucoxylon subsp. leucoxylon","Tree to 25 m tall. Not waxy. Juvenile leaves to 10.5 cm long, 7 cm; adult leaves to 18.5 cm long, 2.5 cm wide; buds ovoid. Flowers creamy-white or pink. Fruit to 1.2 cm long, 1 cm diam.; valves 5(6); pedicel equal to or longer than fruit. Flowers winter–summer."," tree to 25 m tall. . ",,,"tree","tree",,,,,,
"Grevillea patulifolia","Erect to trailing shrub 0.2–1.6(–2.5) m high, sometimes root-suckering. Leaves entire, narrowly elliptic to sublinear, straight, 1.5–3.5 cm long, 1–1.5 mm wide; upper surface of leaf faintly scabrous or granular especially along veins; margin angularly refracted at 120° or more relative to the distinctly convex upper surface (leaf obliquely elliptic in cross-section), usually enclosing the lower surface either side of midvein. Conflorescences c. 1 cm long, sessile, regular and umbel-like or rarely subsecund; perianth pale pink to mauve (occasionally white?), outer surface with appressed hairs, inner surface with a more or less profuse beard opposite the ovary; pistil 8–8.5 mm long, ovary stipitate, glabrous, style pink or white, with minute hairs or papillae just below apex, pollen presenter oblique. Fruits glabrous. Flowers Aug.–Feb."," erect to trailing shrub 0.2–1.6(–2.5) m high, sometimes root-suckering. ",,,"shrub","shrub",,,,,"erect prostrate","erect trailing"
"Limosella","Small, glabrous, annual or possibly short-lived perennial herbs, often stoloniferous. Leaves usually radical by suppression of internodes, rarely opposite on new stolons, with a long slender petiole dilated at the base, and a small to large, palmately veined, entire, glandular-punctate blade shorter than, rarely equalling, the petiole. Flowers solitary in leaf-axils at base of plant, with bracts and bracteoles absent. Calyx-tube 5-angled, equally 5-toothed, or rarely in depauperate plants 3- or 4-merous; corolla more or less actinomorphic, campanulate, just exserted from the calyx, lobes 5, almost equal; stamens 4, anthers 1-locular; stigma obscurely 2-lobed, subcapitate. Capsule almost entirely surrounded by the enlarged persistent calyx, septum incomplete, absent in the upper half; seeds numerous, striate-reticulate."," small, glabrous, annual or possibly shortlivedperennial herbs, often stoloniferous. ","annual short_lived_perennial","annual shortlivedperennial","herb","herbs",,,,,"stoloniferous","stoloniferous"
"Althenia","Annual or perennial herbs. Rhizomes much-branched bearing roots, scale leaves and erect leafy shoots at nodes. Leaves frequently crowded at distal end of branches; floral leaves apparently subopposite; sheath with auricles well-developed; lamina linear. Flowers pedicellate, initially enclosed in a leaf-sheath. Male flowers with pedicel very short initially, elongating considerably at anthesis and extending beyond the leaves; anther or anther mass sessile, and subtended by 3 minute scales or scales fused and cup-like. Female flowers with 3 membranous and persistent scales; ovule 1 per carpel; styles slender. Fruit with style persistent."," annual or perennial herbs. ","annual perennial","annual perennial","herb","herbs",,,,,,
"Gastrolobium","Erect to prostrate shrubs; stems mostly pubescent. Leaves opposite, alternate or in whorls of 3 or 4; simple, entire, apex of pungent, margins flat, involute or slightly recurved, sessile or petiolate, venetation generally prominently reticulate; stipules usually present. Inflorescence axillary or terminal, racemose or reduced to single flowers; flowers sessile or shortly pedicellate; bracts generally caducous, occasionally persistent, nearly always scale-like, rarely leaf-like; bracteoles absent. Calyx 5-toothed, teeth usually subequal, imbricate, upper 2 usually united higher than the lower 3; petals clawed, usually yellow or orange, sometimes red, cream pale green or almost black; standard usually broader than long, emarginate, occasionally entire or acute; wings auriculate on the margin; keel lightly to strongly united, base auriculate, saccate; stamens free to base, anthers generally uniform, sometimes differing in size and shape; ovary sessile or stipitate, style incurved to hooked, stigma terminal, capitate; ovules 2–20. Pod more or less ovoid, hairy; seeds reniform to ellipsoid, arillate."," erect to prostrate shrubs; ",,,"shrub","shrubs",,,,,"erect prostrate","erect prostrate"
"Caladenia fulva","Flowering plant 12–25 cm tall, stem dark-coloured. Leaf 5–12 cm long, 6–8 mm wide, blotched with red at base. Flowers 1 or 2; perianth segments strongly drooping, 5–8 cm long, whitish-cream or yellowish to pinkish with reddish stripes and very dark, glandular tips; sepals flattened at base, 3–7 mm wide, abruptly tapered to a long tail densely covered in glandular hairs; petals shorter than sepals but otherwise similar. Labellum curved forward with apex recurved and lateral lobes erect, lamina ovate, obscurely 3-lobed, 15–18 mm long and 10–12 mm wide (when flattened), pinkish or reddish, distinctly darker towards apex; margins of lateral lobes fringed with pale-tipped, bent calli to 2.5 mm long, margins of mid-lobe with shorter calli becoming tooth-like near tip; lamina calli in 4 or 6 rows, extending onto mid-lobe, narrow, foot-shaped, c. 2.5 mm long at base of lamina, decreasing in size towards apex. Flowers Sep.–Oct."," floweringplant 12–25 cm tall, stem dark-coloured. ",,,,,,,,,,
"Gingidia harveyana","Erect herb to 50 cm high. Leaf-lamina to 18 cm long; leaflets (5–)9–13, lowermost dissected, segments linear or linear-lanceolate, 1.5–5 cm long, 1.5–5 mm wide, acute, margins entire; petiole to 20 cm long. Umbels with 5–10 very unequal rays to 8.5 cm long; peduncles to 26(–40) cm long; pedicels unequal, 5–22 mm long in fruit; bracts subulate, 6–15 mm long; bracteoles linear-subulate, 1.5–2.5 mm long. Petals white, c. 0.6 mm long. Fruit 6–9 mm long, ribs more or less equal. Flowers Nov.–Jan."," erect herb to 50 cm high. ",,,"herb","herb",,,,,"erect","erect"
"Corybas incurvus","Leaf broadly ovate to cordate, sometimes 3-lobed, green above, frosty underneath, 10–25 mm long, 10–32 mm wide. Flower dark purple with white central patch, pedicel (excluding ovary) c. 2 mm long; dorsal sepal greenish-grey with dark purple spots and lines, broadly oblong-obovate, hooded, only partly covering labellum, 17–20 mm long when flattened out, lateral sepals linear, tapered, fused at expanded base, up-curved or spreading obliquely, c. 3 mm long; petals linear, tapered, joined at base to lateral sepals, tips sometimes bifid, c. 2 mm long. Labellum c. 2 cm long when flattened out, tube erect, equal in length to lamina, auricles short and opening downwards; lamina curving gently through 180° before expanding, broadly ovate, dark purple with purplish hairs in front of boss, margins conspicuously incurved and shortly toothed; central boss white, conspicuous, channelled; callus with a few backward-sloping small teeth near tube-lamina junction. Column minutely winged. Flowers Jun.–Sep.","  ",,,,,,,,,,
"Gamochaeta calviceps","Annual to c. 25 cm high; flowering stems ascending to erect, often branched. Leaves not (or very weakly) rosetted at base (lower leaves usually withered at flowering) narrowly spathulate to oblanceolate, 15–30 mm long, 2–6 mm wide, obtuse, surfaces almost or quite concolorous, both greyish-cottony, upper leaves commonly longi-tudinally folded and c. falcate, reducing toward (and within) inflorescence. Inflorescence c. paniculate or contracted, but hardly spicate, flower clusters not contiguous (except sometimes the top few), each cluster subtended by a reduced leaf, clusters usually shortly racemose. Capitula 3–4.5 mm long, innermost bracts acute or abruptly acuminate, entire, pale to mid-brown or purplish near apex; bisexual florets 2–4. Cypselas 0.4–0.5 mm long. Flowers mostly Oct.–Jan."," annual to circa 25 cm high; ","annual","annual",,,,,,,,
"Acacia genistifolia subsp. platyphylla","Phyllodes flattened to rhombic in transverse section, linear to narrow-ovate or narrow-oblong, sometimes subulate or sub-falcate, 1.5–4.5 mm diam., 10–27(–50) mm long, diverging from the stem at (33°–)45°–78°. Flower-heads cream to yellow. Pods with sparse to moderate covering of short appressed hairs, (34–)40–80(–91) mm long, 2–7(–8) mm wide. Flowers Jul.–Oct.","  ",,,,,,,,,,
"Mirbelia","Prostrate or erect perennial shrubs; stems mostly pubescent. Leaves alternate, opposite or irregularly whorled, simple, entire or with pungent pointed lobes, margins recurved or revolute, sessile or shortly petiolate; stipules small and bristly or absent. Inflorescence axillary or terminal, racemose or reduced to single flowers; flowers sessile or shortly pedunculate; bracts small or absent; bracteoles small or absent. Calyx 5-toothed, teeth usually subequal, imbricate, upper 2 often wider and fused above; petals clawed, usually yellow, orange, purplish-red or bluish; standard suborbicular to reniform, emarginate, longer than wings and keel; wings oblong; keel broader than wings and usually shorter; stamens free, anthers uniform; ovary sessile or stipitate, style short, incurved, stigma terminal, capitate; ovules 2–10. Pod ovoid or obloid, turgid, divided longitudinally into 2 cells by a false septum projecting from the lower suture, glabrous or hairy; seeds 2-several, more or less reniform, black, shiny, exarillate."," prostrate or erect perennial shrubs; ","perennial","perennial","shrub","shrubs",,,,,"erect prostrate","erect prostrate"
"Grevillea microstegia","Prostrate to procumbent or straggling shrub, 0.3–1 m high. Branchlet indumentum sparse villous to glabrescent. Leaves deeply and regularly pinnatisect, 2–6 cm long, 1.5–5 cm wide; primary lobes 5–13, 0.5–2.5 cm long, 3–7 mm wide, simple or usually 2–5-fid or -dentate, sometimes with some tertiary toothing; ultimate lobes triangular; lower surface sparsely tomentose or occasionally glabrous; margin recurved. Conflorescences terminal, erect, simple, secund, 3.5–5 cm long; peduncles 5–15 mm long, 0.8–1 mm wide; rachises tomentose; perianth reddish-brown, outer surface tomentose to subsericeous, inner surface glabrous; pistil 13.5–15 mm long, ovary stipitate, subvillous; style red with yellow tip, glabrous, pollen presenter oblique. Fruits subsericeous to open-subvillous, with red-brown markings. Flowers ?Oct.–Dec."," prostrate to procumbent or straggling shrub, 0.3–1 m high. ",,,"shrub","shrub",,,,,"prostrate","prostrate procumbent"
"Erysimum","Annual herbs, with medifixed or stellate appressed hairs. Leaves simple to pinnately lobed. Inflorescence a raceme, often more or less corymbose. Sepals erect, inner pair usually saccate; petals long-clawed, yellow (in Australia); stamens 6. Fruit pedicellate (sometimes shortly so), linear, quadrangular, elongate (more than 3 times as long as broad), dehiscent; style capitate, slightly bilobed; valves with conspicuous midvein; seeds in 1 row per locule."," annual herbs, with medifixed or stellate appressed hairs. ","annual","annual","herb","herbs",,,,,,
"Microcybe","Small shrubs; branchlets densely stellate-hairy or -lepidote. Leaves alternate, simple. Inflorescence a terminal, compact head subtended by leaf-like foliar bracts. Flowers mostly bisexual, occasionally male only, 5-merous; sepals free or united in lower half; petals pale yellow to white, free, imbricate, glabrous or sparsely lepidote; stamens 10, free, spreading, exceeding petals, filaments slender, glabrous, stellate-lepidote or pilose towards the base, anthers basifixed with small terminal gland; disc absent; ovary of 2 free carpels, stellate-scaly, style inserted below apex of ovary, often twisted, glabrous, lengthening during anthesis. Follicles basally connate, transversly ridged; seeds 1 or rarely 2 per follicle, generally reniform, released explosively with elastic endocarp."," small shrubs; ",,,"shrub","shrubs",,,,,,
"Leptinella reptans","Stoloniferous, usually sparsely pubescent perennial; stems prostrate, sparsely branched, with leaves clustered at nodes and extremities. Leaves oblong to oblanceolate in outline, mostly 2–6 cm long and 8–20 mm wide, usually 3-pinnatisect, fern-like, primary pinnae well-spaced, ultimate pinnae narrow and acute; petiole 2–7 cm long. Capitula 4–6 mm diam.; peduncles 2–6 cm long, slender, usually at least as long as leaves; involucral bracts 5–8, obovate to suborbicular, 2–3 mm long, obtuse. Outer florets 3- or 4-seriate, sessile; corolla glandular, not persistent in fruit. Cypselas narrow-obconical, 1.5–2 mm long, slightly compressed, angular with thickened ribs. Flowers mostly spring and summer (also sporadically throughout the year)."," stoloniferous, usually sparsely pubescent perennial; ","perennial","perennial",,,,,,,"stoloniferous","stoloniferous"
"Helianthus tuberosus","Erect perennial herb to 3 m high, annually dying down to rootstock (and often abundant) lumpy tubers to c. 10 cm long, 6 cm diam. Leaves mostly opposite, ovate to lancolate, 5–15 (–20) cm long, 3–10(–15) cm wide, apex acute to acuminate, base tapered sometimes abruptly, margins toothed, surfaces scabrous, major veins hispid on lower surface; petiole 2–7 cm long. Inflorescence of several to many capitula, each pedunculate from uppermost leaf axils, 3.5–8 cm diam., erect; involucral bracts c. 3-seriate, linear to lanceolate, 10–15 mm long, acute to acuminate, hirsute, margins ciliate; receptacle scales 3-awned, 8–9 mm long, papery. Ray florets 10–25, ligules (15–)20–40 mm long, yellow; disc florets numerous (>50), yellow, but anthers blackish. Cypselas obovate to cuneate in outline, 4–7 mm long, 4-angled, dark grey, glabrous or pubescent toward apex; pappus of 2 awned scales to c. 3 mm long, with our without up to 3 awnless scales to 1 mm long, early caducous. Flowers mostly Nov.–Feb."," erect perennial herb to 3 m high, annually dying down to rootstock (and often abundant) lumpy tubers to circa 10 cm long, 6 cm diam. ","perennial","perennial","herb","herb",,,,,"erect","erect"
"Scandix pecten-veneris","Annual to 60 cm high, pubescent or glabrescent. Leaves 2–3-pinnate or pinnatisect; lamina 3–16 cm long, 1–7 cm wide; segments 1–8 mm long, linear to lanceolate; petiole 3–12 cm long.  Common peduncle 0.5–5 cm long; bracts absent or 1, linear; rays 1–4, 5–20 mm long; umbellules 2–7-flowered; bracteoles c. 5, lanceolate, elliptic or ovate, ciliate, entire or incised at apex, 5–10 mm long, 1.5–4 mm wide; pedicels 1.5–8 mm long. Flowers c. 3 mm diam. Fruit linear-oblong, shortly pedicellate, 3-8 cm long usually with bristly margin, prominently 5-ribbed; fertile portion 8–15 mm long; sterile beak 2–7 cm long. Flowers Sep.–Dec."," annual to 60 cm high, pubescent or glabrescent. ","annual","annual",,,,,,,,
"Corybas","Deciduous, mostly colony-forming, terrestrial herbs arising from small round tubers. Leaf solitary, more or less cordate, kidney-shaped or circular, usually prostrate. Flower solitary on short pedicel which elongates at fruiting stage, subtended by small bract; dorsal sepal large, hood-shaped; lateral sepals very small or rudimentary (in Australian species). Labellum quite large, deeply concave or tubular at base, completely enveloping column and usually dilated on either side at base forming a pair of small auricles, expanded beyond tubular part, sometimes with conspicuous swollen boss. Column small, erect, with small apical wings, often with staminode in front at base."," deciduous, mostly colony-forming, terrestrial herbs arising from small round tubers. ",,,"herb","herbs","terrestrial","terrestrial",,,,
"Heliotropium amplexicaule","Perennial, prostrate or ascending, to c. 15 cm high; indumentum of mixed simple and glandular hairs. Leaves oblanceolate to lanceolate, 2–8 cm long, 4–15 mm wide, apex acute or obtuse, base cuneate, margins slightly undulate, both surfaces finely hairy with a mixture of long simple hairs and shorter glandular hairs; petiole short, indistinct. Inflorescences usually branched several times. Sepals narrow-ovate, 2.5–3.5 mm long, acute, hairy, shortly connate, not elongating; corolla 6–7 mm long, throat densely bearded, purple or lilac with a yellow throat, tube c. as long as lobes; anthers acuminate, apices free; style obscure, stigma c. 0.4 mm long, pubescent. Mericarps 2, succulent at first, dry and falling at maturity, glabrous, rugose, brown. Flowers Nov.–Mar."," perennial, prostrate or ascending, to circa 15 cm high; indumentum of mixed simple and glandular hairs. ","perennial","perennial",,,,,,,"decumbent prostrate","ascending prostrate"
"Chloris truncata","Tufted or occasionally stoloniferous perennial, culms erect, to c. 40 cm high; leaves glabrous, often somewhat glaucous; blade flat or folded, scabrous along margins and keel, to 15 cm (rarely more) long and 5 mm wide. Inflorescence an umbel of 5–10 spikes, 5–17 cm long, spreading stiffly horizontally or slightly reflexed at maturity. Spikelets with 2 florets, the lower bisexual, the upper sterile, both blackish at maturity; lower glume 1–2 mm, the upper 2–4 mm, sometimes mucronate; fertile lemma very obtuse or truncate, subequal to upper glume, membranous, sparsely ciliate along the upper margin, callus shortly bearded, otherwise glabrous, awn 5–15 mm long; sterile lemma cuneate, truncate, not or barely half as long as first and not or only weakly enclosed by it, awn of second lemma 2.5–5 mm long. Flowers Nov.–Jun."," tufted or occasionally stoloniferous perennial, culms erect, to circa 40 cm high; ","perennial","perennial",,,,,,,"erect stoloniferous","erect stoloniferous"
"Pterostylis truncata","Flowering plant to 15 cm tall, stem leaves 2–5, closely sheathing. Rosette leaves 2–6, ovate to lanceolate, 1.5–3 cm long. 0.8–1.8 cm wide, petiolate, entire. Flower 3.5–4.5 cm long, semi-erect, white with green and brown stripes and suffusions; dorsal sepal acuminate, decurved near the apex; petal margins decurved; lateral sepals erect, tightly embracing the galea, sinus deeply v-shaped, slightly mounded to nearly flat when viewed from the side, free points 2.5–3 cm long, filiform, widely divergent, held obliquely forwards. Labellum narrowly ovate-lanceolate, 14–18 mm long, 3.5–4 mm wide, apex acute to subacute, red-brown, shallowly curved, distal quarter to third protruding from the sinus in the set position. Flowers Feb.–Jul."," floweringplant to 15 cm tall, stem-leaves 2–5, closely sheathing. ",,,,,,,,,,
